,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,018124,永赢先进制造智选混合发起A,2025-07-18,1.9354,1.9354,-0.98,9.94,8.45,14.65,26.18,150.47,68.34,,53.02,93.54,146.8937,0.15%
1,2,018125,永赢先进制造智选混合发起C,2025-07-18,1.9189,1.9189,-0.98,9.93,8.42,14.53,25.93,149.47,66.98,,52.68,91.89,145.9182,0.00%
2,3,021237,合煦智远嘉悦利率债A,2025-07-18,1.0267,2.3683,0.01,0.03,0.09,0.27,0.55,137.61,,,0.55,137.63,2.1066,0.04%
3,4,021238,合煦智远嘉悦利率债C,2025-07-18,1.2457,2.3643,0.01,0.02,0.07,0.21,0.41,136.95,,,0.4,136.95,1.8489,0.00%
4,5,014938,同泰产业升级混合A,2025-07-18,1.7023,1.7023,-0.94,5.61,5.91,8.18,99.99,133.61,104.8,57.02,110.84,70.23,135.841,0.15%
5,6,014939,同泰产业升级混合C,2025-07-18,1.68,1.68,-0.94,5.6,5.87,8.07,99.6,132.65,103.17,55.15,110.37,68.0,134.9322,0.00%
6,7,016530,鹏华碳中和主题混合A,2025-07-18,1.5612,1.5612,-1.08,9.53,7.9,12.54,26.88,131.32,50.42,,57.35,56.12,127.0176,0.15%
7,8,016531,鹏华碳中和主题混合C,2025-07-18,1.5407,1.5407,-1.09,9.51,7.85,12.37,26.49,129.96,48.63,,56.83,54.07,125.7105,0.00%
8,9,320016,诺安多策略混合A,2025-07-18,2.861,2.861,0.46,2.18,10.55,29.81,47.32,121.1,85.06,40.31,48.24,186.1,115.7617,0.15%
9,10,015915,永赢医药创新智选混合发起A,2025-07-18,1.8718,1.8718,2.11,15.15,20.54,52.78,108.3,118.57,91.08,,106.37,87.18,116.8694,0.10%
10,11,015916,永赢医药创新智选混合发起C,2025-07-18,1.8529,1.8529,2.11,15.14,20.51,52.55,107.79,117.6,89.59,,105.83,85.29,115.9054,0.00%
11,12,019457,平安先进制造主题股票发起A,2025-07-18,1.7175,1.7175,-0.45,6.34,10.0,19.72,39.94,116.97,,,62.41,71.75,114.9562,0.15%
12,13,019458,平安先进制造主题股票发起C,2025-07-18,1.7001,1.7001,-0.45,6.33,9.95,19.55,39.55,115.67,,,61.9,70.01,113.7146,0.00%
13,14,020397,中银港股通医药混合发起A,2025-07-18,1.8158,1.8158,0.89,13.3,20.36,55.98,114.33,114.89,,,105.43,81.58,114.1021,0.15%
14,15,021489,中航趋势领航混合发起A,2025-07-18,2.0596,2.0996,-0.25,11.03,11.56,15.83,26.22,114.53,,,47.77,111.87,113.1883,0.15%
15,16,018993,中欧数字经济混合发起A,2025-07-18,1.9396,1.9396,-0.36,12.14,19.32,37.59,53.83,114.18,,,53.17,93.96,113.2835,0.15%
16,17,021490,中航趋势领航混合发起C,2025-07-18,2.0459,2.0859,-0.25,11.02,11.51,15.66,25.86,113.23,,,47.29,110.47,111.8946,0.00%
17,18,018994,中欧数字经济混合发起C,2025-07-18,1.9185,1.9185,-0.36,12.13,19.26,37.39,53.37,112.93,,,52.67,91.85,112.0358,0.00%
18,19,020398,中银港股通医药混合发起C,2025-07-18,1.7938,1.7938,0.89,13.3,20.32,55.55,113.52,112.86,,,104.63,79.38,112.0832,0.00%
19,20,021298,中欧北证50成份指数发起A,2025-07-18,1.9478,1.9478,-0.63,-0.14,1.88,6.3,22.58,111.6,,,31.89,94.78,112.6651,0.10%
20,21,021299,中欧北证50成份指数发起C,2025-07-18,1.942,1.942,-0.63,-0.14,1.86,6.24,22.43,111.04,,,31.71,94.2,112.1245,0.00%
21,22,016243,广发成长领航一年持有混合A,2025-07-18,1.7266,1.7766,1.37,3.81,10.04,31.4,75.99,110.05,44.03,,81.58,79.99,111.1791,0.15%
22,23,016244,广发成长领航一年持有混合C,2025-07-18,1.7048,1.7548,1.37,3.8,10.0,31.21,75.39,108.82,42.47,,80.92,77.73,109.9766,0.00%
23,24,018128,博时北证50成份指数发起式A,2025-07-18,1.6522,1.6522,-0.64,-0.14,1.76,7.05,26.05,107.98,79.12,,35.86,65.22,109.1392,0.10%
24,25,017512,广发北证50成份指数A,2025-07-18,1.6776,1.6776,-0.62,-0.13,1.81,7.15,27.62,107.42,84.66,,37.52,67.76,108.5011,0.12%
25,26,018129,博时北证50成份指数发起式C,2025-07-18,1.6359,1.6359,-0.64,-0.15,1.72,6.94,25.8,107.15,77.7,,35.57,63.59,108.2888,0.00%
26,27,007713,华富科技动能混合A,2025-07-18,1.3669,1.4169,-1.35,8.4,4.6,17.64,29.69,106.95,33.58,8.12,46.47,42.24,106.3245,0.15%
